"sp_ABC","chrom","win","n_nodes","win_start","win_mid_Mb","PBSa_5Mb","species_label"
"A","1",42,41,4.2e+07,42.5,955.208354234823,"C. caryae"
"A","1",43,312,4.3e+07,43.5,1002.06885990934,"C. caryae"
"A","1",44,177,4.4e+07,44.5,403.874980656143,"C. caryae"
"A","1",45,431,4.5e+07,45.5,562.241051507269,"C. caryae"
"A","1",46,225,4.6e+07,46.5,605.590620799233,"C. caryae"
"A","1",47,1537,4.7e+07,47.5,1651.49265817321,"C. caryae"
"A","1",48,26,4.8e+07,48.5,1621.96177513528,"C. caryae"
"A","1",49,69,4.9e+07,49.5,1613.75091014692,"C. caryae"
"A","1",50,2274,5e+07,50.5,2754.90598750665,"C. caryae"
"A","1",51,77,5.1e+07,51.5,2746.78193528354,"C. caryae"
"A","1",52,136,5.2e+07,52.5,2280.55651102971,"C. caryae"
"A","1",53,203,5.3e+07,53.5,2289.42591057234,"C. caryae"
"A","1",54,1007,5.4e+07,54.5,2500.15179539163,"C. caryae"
"A","1",55,13,5.5e+07,55.5,1039.15927556848,"C. caryae"
"A","1",56,498,5.6e+07,56.5,1149.75084257416,"C. caryae"
"A","1",57,120,5.7e+07,57.5,1147.96820513462,"C. caryae"
"A","1",58,360,5.8e+07,58.5,1185.84231666778,"C. caryae"
"A","1",59,150,5.9e+07,59.5,643.951085098861,"C. caryae"
"A","1",60,46,6e+07,60.5,645.461075511142,"C. caryae"
"A","1",61,81,6.1e+07,61.5,418.541515264615,"C. caryae"
"A","1",62,25,6.2e+07,62.5,401.74867765806,"C. caryae"
"A","1",63,0,6.3e+07,63.5,178.331152634642,"C. caryae"
"A","1",64,60,6.4e+07,64.5,113.586971083835,"C. caryae"
"A","1",65,103,6.5e+07,65.5,146.270297736759,"C. caryae"
"A","1",66,98,6.6e+07,66.5,156.326581233007,"C. caryae"
"A","1",67,39,6.7e+07,67.5,159.166579406608,"C. caryae"
"A","1",68,308,6.8e+07,68.5,346.695832106473,"C. caryae"
"A","1",69,218,6.9e+07,69.5,405.119735386959,"C. caryae"
"A","1",70,52,7e+07,70.5,395.242963251719,"C. caryae"
"A","1",71,62,7.1e+07,71.5,387.887870395556,"C. caryae"
"A","1",72,195,7.2e+07,72.5,432.389870371636,"C. caryae"
"A","1",73,94,7.3e+07,73.5,317.699543594258,"C. caryae"
"A","1",74,630,7.4e+07,74.5,671.050668727779,"C. caryae"
"A","1",75,208,7.5e+07,75.5,700.620439325031,"C. caryae"
"A","1",76,245,7.6e+07,76.5,739.628285018901,"C. caryae"
"A","1",77,8759,7.7e+07,77.5,8788.00921710941,"C. caryae"
"A","1",78,2614,7.8e+07,78.5,9168.05682792161,"C. caryae"
"A","1",79,413,7.9e+07,79.5,9155.70505204269,"C. caryae"
"A","1",80,107,8e+07,80.5,9153.96744586739,"C. caryae"
"A","1",81,1,8.1e+07,81.5,9150.68828012407,"C. caryae"
"A","1",82,23,8.2e+07,82.5,2648.68722200263,"C. caryae"
"A","1",83,44,8.3e+07,83.5,429.516006686596,"C. caryae"
"A","1",84,10,8.4e+07,84.5,118.384965261641,"C. caryae"
"A","1",85,16,8.5e+07,85.5,53.1224999411737,"C. caryae"
"A","1",86,96,8.6e+07,86.5,109.71326264404,"C. caryae"
"A","1",87,72,8.7e+07,87.5,129.197523196074,"C. caryae"
"A","1",88,43,8.8e+07,88.5,128.860389569487,"C. caryae"
"A","1",89,36,8.9e+07,89.5,133.420388247074,"C. caryae"
"A","1",90,533,9e+07,90.5,549.212163011709,"C. caryae"
"A","1",91,380,9.1e+07,91.5,660.922083153529,"C. caryae"
"A","1",92,182,9.2e+07,92.5,681.731618747436,"C. caryae"
"A","1",93,125,9.3e+07,93.5,691.761519600505,"C. caryae"
"A","1",94,357,9.4e+07,94.5,777.616229254508,"C. caryae"
"A","1",95,482,9.5e+07,95.5,743.587251101039,"C. caryae"
"A","1",96,320,9.6e+07,96.5,714.7880804826,"C. caryae"
"A","1",97,422,9.7e+07,97.5,809.865420918809,"C. caryae"
"A","1",98,41,9.8e+07,98.5,801.210334431602,"C. caryae"
"A","1",99,264,9.9e+07,99.5,764.3199591794,"C. caryae"
"A","1",100,126,1e+08,100.5,606.413225449445,"C. caryae"
"A","1",101,97,1.01e+08,101.5,524.162188640119,"C. caryae"
"A","1",102,73,1.02e+08,102.5,319.360298096053,"C. caryae"
"A","1",103,0,1.03e+08,103.5,316.717539773218,"C. caryae"
"A","1",104,46,1.04e+08,104.5,180.914344373242,"C. caryae"
"A","1",105,96,1.05e+08,105.5,161.462069849237,"C. caryae"
"A","1",106,66,1.06e+08,106.5,144.97241116847,"C. caryae"
"A","1",107,77,1.07e+08,107.5,147.027208366343,"C. caryae"
"A","1",108,132,1.08e+08,108.5,197.587955098483,"C. caryae"
"A","1",109,211,1.09e+08,109.5,285.38745592615,"C. caryae"
"A","1",110,884,1.1e+08,110.5,923.951297417781,"C. caryae"
"A","1",111,14,1.11e+08,111.5,921.697347289228,"C. caryae"
"A","1",112,76,1.12e+08,112.5,921.614344506421,"C. caryae"
"A","1",113,481,1.13e+08,113.5,1031.16923926192,"C. caryae"
"A","1",114,407,1.14e+08,114.5,1088.31888709146,"C. caryae"
"A","1",115,235,1.15e+08,115.5,676.909890605832,"C. caryae"
"A","1",116,233,1.16e+08,116.5,715.751353474096,"C. caryae"
"A","1",117,42,1.17e+08,117.5,712.943195493161,"C. caryae"
"A","1",118,227,1.18e+08,118.5,573.110809529885,"C. caryae"
"A","1",119,44,1.19e+08,119.5,405.885451821077,"C. caryae"
"A","1",120,389,1.2e+08,120.5,510.723995911686,"C. caryae"
"A","1",121,101,1.21e+08,121.5,465.565247843952,"C. caryae"
"A","1",122,105,1.22e+08,122.5,475.407193887514,"C. caryae"
"A","1",123,28,1.23e+08,123.5,418.64901767471,"C. caryae"
"A","1",124,97,1.24e+08,124.5,427.480993729546,"C. caryae"
"A","1",125,77,1.25e+08,125.5,193.256306494769,"C. caryae"
"A","1",126,117,1.26e+08,126.5,202.079192397436,"C. caryae"
"A","1",127,49,1.27e+08,127.5,179.477018027379,"C. caryae"
"A","1",128,38,1.28e+08,128.5,181.306370544446,"C. caryae"
"A","1",129,39,1.29e+08,129.5,158.063278467834,"C. caryae"
"A","1",130,477,1.3e+08,130.5,496.572250533596,"C. caryae"
"A","1",131,200,1.31e+08,131.5,522.393529822106,"C. caryae"
"A","1",132,48,1.32e+08,132.5,522.300679685562,"C. caryae"
"A","1",133,65,1.33e+08,133.5,524.956188648158,"C. caryae"
"A","1",134,116,1.34e+08,134.5,536.203319646568,"C. caryae"
"A","1",135,630,1.35e+08,135.5,675.932688956526,"C. caryae"
"A","1",136,2,1.36e+08,136.5,645.669420059522,"C. caryae"
"A","1",137,9,1.37e+08,137.5,643.945649880485,"C. caryae"
"A","1",138,115,1.38e+08,138.5,650.896305105506,"C. caryae"
"A","1",139,196,1.39e+08,139.5,669.795491176225,"C. caryae"
"A","1",140,57,1.4e+08,140.5,234.467481753867,"C. caryae"
"A","1",141,125,1.41e+08,141.5,265.699077905814,"C. caryae"
"A","1",142,2,1.42e+08,142.5,265.554137606628,"C. caryae"
"A","1",143,143,1.43e+08,143.5,278.824317447385,"C. caryae"
"A","1",144,403,1.44e+08,144.5,449.150308916737,"C. caryae"
"A","1",145,182,1.45e+08,145.5,481.25980509492,"C. caryae"
"A","1",146,64,1.46e+08,146.5,469.12898013233,"C. caryae"
"A","1",147,63,1.47e+08,147.5,473.336032856152,"C. caryae"
"A","1",148,0,1.48e+08,148.5,451.218350690661,"C. caryae"
"A","1",149,221,1.49e+08,149.5,300.049995834028,"C. caryae"
"A","1",150,138,1.5e+08,150.5,275.590275590413,"C. caryae"
"A","10",0,139,0,0.5,NA,"C. caryae"
"A","10",1,869,1e+06,1.5,NA,"C. caryae"
"A","10",2,403,2e+06,2.5,NA,"C. caryae"
"A","10",3,1059,3e+06,3.5,NA,"C. caryae"
"A","10",4,1033,4e+06,4.5,1767.89733864837,"C. caryae"
"A","10",5,292,5e+06,5.5,1786.45011125416,"C. caryae"
"A","10",6,452,6e+06,6.5,1624.97599982277,"C. caryae"
"A","10",7,535,7e+06,7.5,1662.63736274631,"C. caryae"
"A","10",8,120,8e+06,8.5,1287.35465198989,"C. caryae"
"A","10",9,69,9e+06,9.5,771.332613079468,"C. caryae"
"A","10",10,47,1e+07,10.5,715.4711734235,"C. caryae"
"A","10",11,60,1.1e+07,11.5,557.848545754132,"C. caryae"
"A","10",12,109,1.2e+07,12.5,191.96614284816,"C. caryae"
"A","10",13,103,1.3e+07,13.5,181.824090813071,"C. caryae"
"A","10",14,206,1.4e+07,14.5,265.960523386461,"C. caryae"
"A","10",15,519,1.5e+07,15.5,581.280483071641,"C. caryae"
"A","10",16,85,1.6e+07,16.5,584.390280548881,"C. caryae"
"A","10",17,398,1.7e+07,17.5,698.595018590886,"C. caryae"
"A","10",18,217,1.8e+07,18.5,724.234078181909,"C. caryae"
"A","10",19,63,1.9e+07,19.5,697.171427985973,"C. caryae"
"A","10",20,25,2e+07,20.5,466.167351924178,"C. caryae"
"A","10",21,309,2.1e+07,21.5,552.782054701489,"C. caryae"
"A","10",22,186,2.2e+07,22.5,426.333203023175,"C. caryae"
"A","10",23,138,2.3e+07,23.5,392.06504562381,"C. caryae"
"A","10",24,32,2.4e+07,24.5,388.291127892462,"C. caryae"
"A","10",25,1081,2.5e+07,25.5,1148.34925001064,"C. caryae"
"A","10",26,1219,2.6e+07,26.5,1645.96050985435,"C. caryae"
"A","10",27,292,2.7e+07,27.5,1661.28083116612,"C. caryae"
"A","10",28,1560,2.8e+07,28.5,2274.73295135935,"C. caryae"
"A","10",29,349,2.9e+07,29.5,2301.12733241774,"C. caryae"
"A","10",30,23,3e+07,30.5,2031.54005621351,"C. caryae"
"A","10",31,204,3.1e+07,31.5,1637.9285698711,"C. caryae"
"A","10",32,784,3.2e+07,32.5,1792.26169964099,"C. caryae"
"A","10",33,463,3.3e+07,33.5,996.479302344008,"C. caryae"
"A","10",34,181,3.4e+07,34.5,950.752859580238,"C. caryae"
"A","10",35,566,3.5e+07,35.5,1106.23596036289,"C. caryae"
"A","10",36,355,3.6e+07,36.5,1143.75128415228,"C. caryae"
"A","10",37,195,3.7e+07,37.5,855.298778205605,"C. caryae"
"A","10",38,611,3.8e+07,38.5,943.656717244147,"C. caryae"
"A","10",39,599,3.9e+07,39.5,1102.96328134712,"C. caryae"
"A","10",40,286,4e+07,40.5,988.922646115458,"C. caryae"
"A","10",41,495,4.1e+07,41.5,1047.36240146379,"C. caryae"
"A","10",42,213,4.2e+07,42.5,1050.8625028994,"C. caryae"
"A","10",43,334,4.3e+07,43.5,917.903589708636,"C. caryae"
"A","10",44,804,4.4e+07,44.5,1063.090776933,"C. caryae"
"A","10",45,33,4.5e+07,45.5,1024.42910930918,"C. caryae"
"A","11",1,319,1e+06,1.5,NA,"C. caryae"
"A","11",2,22,2e+06,2.5,NA,"C. caryae"
"A","11",3,200,3e+06,3.5,NA,"C. caryae"
"A","11",4,44,4e+06,4.5,NA,"C. caryae"
"A","11",5,7,5e+06,5.5,379.776249915658,"C. caryae"
"A","11",6,182,6e+06,6.5,274.941812025745,"C. caryae"
"A","11",7,552,7e+06,7.5,616.289704603282,"C. caryae"
"A","11",8,742,8e+06,8.5,943.59790165091,"C. caryae"
"A","11",9,43,9e+06,9.5,943.55180037982,"C. caryae"
"A","11",10,39,1e+07,10.5,944.331509587602,"C. caryae"
"A","11",11,90,1.1e+07,11.5,930.98764760871,"C. caryae"
"A","11",12,40,1.2e+07,12.5,750.755619359589,"C. caryae"
"A","11",13,31,1.3e+07,13.5,118.452522134398,"C. caryae"
"A","11",14,32,1.4e+07,14.5,114.917361612595,"C. caryae"
"A","11",15,23,1.5e+07,15.5,110.516967023168,"C. caryae"
"A","11",16,0,1.6e+07,16.5,64.1404708432983,"C. caryae"
"A","11",17,213,1.7e+07,17.5,218.821845344563,"C. caryae"
"A","11",18,720,1.8e+07,18.5,751.878979623716,"C. caryae"
"A","11",19,1213,1.9e+07,19.5,1426.76802599442,"C. caryae"
"A","11",20,161,2e+07,20.5,1435.63888217058,"C. caryae"
"A","11",21,0,2.1e+07,21.5,1435.63888217058,"C. caryae"
"A","11",22,245,2.2e+07,22.5,1440.73418783619,"C. caryae"
"A","11",23,608,2.3e+07,23.5,1388.15669144373,"C. caryae"
"A","11",24,200,2.4e+07,24.5,703.995738623466,"C. caryae"
"A","11",25,175,2.5e+07,25.5,707.328777867831,"C. caryae"
"A","11",26,430,2.6e+07,26.5,827.776539894675,"C. caryae"
"A","11",27,744,2.7e+07,27.5,1085.6910241869,"C. caryae"
"A","11",28,84,2.8e+07,28.5,903.391941518187,"C. caryae"
"A","11",29,129,2.9e+07,29.5,890.369586183176,"C. caryae"
"A","11",30,601,3e+07,30.5,1059.87452087499,"C. caryae"
"A","11",31,423,3.1e+07,31.5,1057.05392483071,"C. caryae"
"A","11",32,416,3.2e+07,32.5,858.418895411791,"C. caryae"
"A","11",33,373,3.3e+07,33.5,932.178094572062,"C. caryae"
"A","11",34,227,3.4e+07,34.5,950.707105264287,"C. caryae"
"A","11",35,210,3.5e+07,35.5,765.991514313311,"C. caryae"
"A","11",36,668,3.6e+07,36.5,924.141764016755,"C. caryae"
"A","11",37,155,3.7e+07,37.5,839.646949616325,"C. caryae"
"A","11",38,216,3.8e+07,38.5,782.645513626699,"C. caryae"
"A","11",39,90,3.9e+07,39.5,754.390482442614,"C. caryae"
"A","11",40,422,4e+07,40.5,838.504025035062,"C. caryae"
"A","12",0,257,0,0.5,NA,"C. caryae"
"A","12",1,381,1e+06,1.5,NA,"C. caryae"
"A","12",2,436,2e+06,2.5,NA,"C. caryae"
"A","12",3,274,3e+06,3.5,NA,"C. caryae"
"A","12",4,242,4e+06,4.5,731.400027344818,"C. caryae"
"A","12",5,362,5e+06,5.5,774.55858396896,"C. caryae"
"A","12",6,58,6e+06,6.5,676.863354008769,"C. caryae"
"A","12",7,225,7e+06,7.5,564.511293066844,"C. caryae"
"A","12",8,1134,8e+06,8.5,1236.75098544533,"C. caryae"
"A","12",9,236,9e+06,9.5,1235.59095173119,"C. caryae"
"A","12",10,703,1e+07,10.5,1374.71815293172,"C. caryae"
"A","12",11,143,1.1e+07,11.5,1380.91817281112,"C. caryae"
"A","12",12,629,1.2e+07,12.5,1500.65019241661,"C. caryae"
"A","12",13,452,1.3e+07,13.5,1081.80358660896,"C. caryae"
"A","12",14,167,1.4e+07,14.5,1068.87417407289,"C. caryae"
"A","12",15,465,1.5e+07,15.5,929.789223426471,"C. caryae"
"A","12",16,489,1.6e+07,16.5,1040.75933817574,"C. caryae"
"A","12",17,590,1.7e+07,17.5,1017.66350037721,"C. caryae"
"A","12",18,526,1.8e+07,18.5,1052.62101442067,"C. caryae"
"A","12",19,1386,1.9e+07,19.5,1732.37351630646,"C. caryae"
"A","12",20,651,2e+07,20.5,1791.28278057933,"C. caryae"
"A","12",21,238,2.1e+07,21.5,1739.60254081212,"C. caryae"
"A","12",22,361,2.2e+07,22.5,1675.83949112079,"C. caryae"
"A","12",23,48,2.3e+07,23.5,1591.87499509227,"C. caryae"
"A","12",24,1124,2.4e+07,24.5,1369.83429654831,"C. caryae"
"A","12",25,208,2.5e+07,25.5,1223.07358732008,"C. caryae"
"A","12",26,261,2.6e+07,26.5,1227.7564905143,"C. caryae"
"A","12",27,348,2.7e+07,27.5,1223.99714051954,"C. caryae"
"A","12",28,72,2.8e+07,28.5,1225.17304900165,"C. caryae"
"A","12",29,155,2.9e+07,29.5,511.564267712279,"C. caryae"
"A","12",30,217,3e+07,30.5,515.289239165733,"C. caryae"
"A","12",31,613,3.1e+07,31.5,757.080576953339,"C. caryae"
"A","12",32,224,3.2e+07,32.5,708.691046930889,"C. caryae"
"A","12",33,506,3.3e+07,33.5,867.8104631773,"C. caryae"
"A","12",34,550,3.4e+07,34.5,1015.66234546723,"C. caryae"
"A","13",0,82,0,0.5,NA,"C. caryae"
"A","13",1,105,1e+06,1.5,NA,"C. caryae"
"A","13",2,528,2e+06,2.5,NA,"C. caryae"
"A","13",3,705,3e+06,3.5,NA,"C. caryae"
"A","13",4,509,4e+06,4.5,1025.98196865247,"C. caryae"
"A","13",5,1457,5e+06,5.5,1780.10224425453,"C. caryae"
"A","13",6,1117,6e+06,6.5,2098.91114628514,"C. caryae"
"A","13",7,670,7e+06,7.5,2139.05212652707,"C. caryae"
"A","13",8,987,8e+06,8.5,2247.8184980109,"C. caryae"
"A","13",9,1221,9e+06,9.5,2506.88013275466,"C. caryae"
"A","13",10,731,1e+07,10.5,2167.01638203314,"C. caryae"
"A","13",11,1001,1.1e+07,11.5,2109.56678017075,"C. caryae"
"A","13",12,780,1.2e+07,12.5,2147.03795960854,"C. caryae"
"A","13",13,985,1.3e+07,13.5,2146.11928839009,"C. caryae"
"A","13",14,1066,1.4e+07,14.5,2061.87851242502,"C. caryae"
"A","13",15,765,1.5e+07,15.5,2074.17622202165,"C. caryae"
"A","13",16,820,1.6e+07,16.5,1993.13973418825,"C. caryae"
"A","13",17,1010,1.7e+07,17.5,2093.87344412216,"C. caryae"
"A","13",18,512,1.8e+07,18.5,1917.34842947233,"C. caryae"
"A","13",19,654,1.9e+07,19.5,1722.66798890558,"C. caryae"
"A","13",20,743,2e+07,20.5,1713.01167538345,"C. caryae"
"A","13",21,360,2.1e+07,21.5,1546.48278360931,"C. caryae"
"A","13",22,675,2.2e+07,22.5,1351.71520669111,"C. caryae"
"A","13",23,532,2.3e+07,23.5,1359.41678671407,"C. caryae"
"A","13",24,345,2.4e+07,24.5,1240.69456354092,"C. caryae"
"A","13",25,1187,2.5e+07,25.5,1547.98029703223,"C. caryae"
"A","13",26,919,2.6e+07,26.5,1763.8605387048,"C. caryae"
"A","13",27,282,2.7e+07,27.5,1653.81468127478,"C. caryae"
"A","13",28,305,2.8e+07,28.5,1595.33820865671,"C. caryae"
"A","13",29,603,2.9e+07,29.5,1670.23591148077,"C. caryae"
"A","13",30,1770,3e+07,30.5,2124.52794756859,"C. caryae"
"A","13",31,509,3.1e+07,31.5,1981.95332942025,"C. caryae"
"A","13",32,549,3.2e+07,32.5,2037.1588057881,"C. caryae"
"A","13",33,303,3.3e+07,33.5,2036.86032903584,"C. caryae"
"A","13",34,469,3.4e+07,34.5,2001.28758553088,"C. caryae"
"A","13",35,228,3.5e+07,35.5,961.371936349299,"C. caryae"
"A","13",36,537,3.6e+07,36.5,976.485534967108,"C. caryae"
"A","13",37,364,3.7e+07,37.5,885.78722049937,"C. caryae"
"A","13",38,37,3.8e+07,38.5,833.174051444235,"C. caryae"
"A","13",39,958,3.9e+07,39.5,1179.82286806113,"C. caryae"
"A","13",40,429,4e+07,40.5,1234.51974467807,"C. caryae"
"A","13",41,308,4.1e+07,41.5,1153.48775459473,"C. caryae"
"A","13",42,538,4.2e+07,42.5,1219.62371246217,"C. caryae"
"A","13",43,499,4.3e+07,43.5,1317.23726032936,"C. caryae"
"A","13",44,22,4.4e+07,44.5,904.341749561525,"C. caryae"
"A","2",0,1,0,0.5,NA,"C. caryae"
"A","2",1,224,1e+06,1.5,NA,"C. caryae"
"A","2",2,590,2e+06,2.5,NA,"C. caryae"
"A","2",3,406,3e+06,3.5,NA,"C. caryae"
"A","2",4,480,4e+06,4.5,890.793466522965,"C. caryae"
"A","2",5,281,5e+06,5.5,934.062631733012,"C. caryae"
"A","2",6,154,6e+06,6.5,919.789649865664,"C. caryae"
"A","2",7,0,7e+06,7.5,705.629506185789,"C. caryae"
"A","2",8,188,8e+06,8.5,606.976935311384,"C. caryae"
"A","2",9,82,9e+06,9.5,380.453676549459,"C. caryae"
"A","2",10,10,1e+07,10.5,256.678787592586,"C. caryae"
"A","2",11,116,1.1e+07,11.5,235.847408296127,"C. caryae"
"A","2",12,62,1.2e+07,12.5,243.860615926394,"C. caryae"
"A","2",13,70,1.3e+07,13.5,170.364315512375,"C. caryae"
"A","2",14,233,1.4e+07,14.5,276.747177040706,"C. caryae"
"A","2",15,17,1.5e+07,15.5,277.088433537021,"C. caryae"
"A","2",16,142,1.6e+07,16.5,288.939440021607,"C. caryae"
"A","2",17,114,1.7e+07,17.5,304.36491256385,"C. caryae"
"A","2",18,152,1.8e+07,18.5,332.929421950058,"C. caryae"
"A","2",19,301,1.9e+07,19.5,383.606569286815,"C. caryae"
"A","2",20,417,2e+07,20.5,566.351480972726,"C. caryae"
"A","2",21,78,2.1e+07,21.5,553.781545376875,"C. caryae"
"A","2",22,8,2.2e+07,22.5,541.979704417057,"C. caryae"
"A","2",23,38,2.3e+07,23.5,521.614800403516,"C. caryae"
"A","2",24,322,2.4e+07,24.5,534.008426899801,"C. caryae"
"A","2",25,58,2.5e+07,25.5,338.585292060952,"C. caryae"
"A","2",26,306,2.6e+07,26.5,449.657647549778,"C. caryae"
"A","2",27,30,2.7e+07,27.5,450.586284744665,"C. caryae"
"A","2",28,18,2.8e+07,28.5,449.341740771987,"C. caryae"
"A","2",29,352,2.9e+07,29.5,471.304572436975,"C. caryae"
"A","2",30,1,3e+07,30.5,467.72320874637,"C. caryae"
"A","2",31,208,3.1e+07,31.5,410.3571615069,"C. caryae"
"A","2",32,123,3.2e+07,32.5,427.342953609861,"C. caryae"
"A","2",33,82,3.3e+07,33.5,434.766604053255,"C. caryae"
"A","2",34,176,3.4e+07,34.5,309.990322429588,"C. caryae"
"A","2",35,58,3.5e+07,35.5,315.368038964002,"C. caryae"
"A","2",36,112,3.6e+07,36.5,262.177420843214,"C. caryae"
"A","2",37,280,3.7e+07,37.5,363.329051962543,"C. caryae"
"A","2",38,92,3.8e+07,38.5,365.715736604265,"C. caryae"
"A","2",39,297,3.9e+07,39.5,437.013729761434,"C. caryae"
"A","2",40,371,4e+07,40.5,570.313948628297,"C. caryae"
"A","2",41,82,4.1e+07,41.5,565.188464142714,"C. caryae"
"A","2",42,1173,4.2e+07,42.5,1271.60017301037,"C. caryae"
"A","2",43,7228,4.3e+07,43.5,7338.42537605991,"C. caryae"
"A","2",44,15,4.4e+07,44.5,7332.42817898682,"C. caryae"
"A","2",45,0,4.5e+07,45.5,7323.03639209857,"C. caryae"
"A","2",46,163,4.6e+07,46.5,7324.39123750227,"C. caryae"
"A","2",47,83,4.7e+07,47.5,7230.32966053416,"C. caryae"
"A","2",48,94,4.8e+07,48.5,206.201357900476,"C. caryae"
"A","2",49,300,4.9e+07,49.5,363.722421634961,"C. caryae"
"A","2",50,269,5e+07,50.5,452.388107712835,"C. caryae"
"A","2",51,50,5.1e+07,51.5,424.954115170097,"C. caryae"
"A","2",52,92,5.2e+07,52.5,426.803233352326,"C. caryae"
"A","2",53,194,5.3e+07,53.5,459.304909618872,"C. caryae"
"A","2",54,6,5.4e+07,54.5,347.846230394984,"C. caryae"
"A","2",55,98,5.5e+07,55.5,241.329650063974,"C. caryae"
"A","2",56,5,5.6e+07,56.5,236.146141192271,"C. caryae"
"A","2",57,433,5.7e+07,57.5,484.551338869268,"C. caryae"
"A","2",58,130,5.8e+07,58.5,462.659702156996,"C. caryae"
"A","2",59,157,5.9e+07,59.5,488.535566770732,"C. caryae"
"A","2",60,62,6e+07,60.5,482.604392851951,"C. caryae"
"A","2",61,1288,6.1e+07,61.5,1375.43665793813,"C. caryae"
"A","2",62,30,6.2e+07,62.5,1305.84723455694,"C. caryae"
"A","2",63,548,6.3e+07,63.5,1410.1918309223,"C. caryae"
"A","2",64,27,6.4e+07,64.5,1401.68505735062,"C. caryae"
"A","2",65,269,6.5e+07,65.5,1425.91654734771,"C. caryae"
"A","2",66,61,6.6e+07,66.5,614.829244587471,"C. caryae"
"A","2",67,142,6.7e+07,67.5,630.300721878057,"C. caryae"
"A","2",68,289,6.8e+07,68.5,424.848208187348,"C. caryae"
"A","2",69,92,6.9e+07,69.5,433.85596688302,"C. caryae"
"A","2",70,137,7e+07,70.5,366.931873785857,"C. caryae"
"A","2",71,1,7.1e+07,71.5,361.827306874426,"C. caryae"
"A","2",72,89,7.2e+07,72.5,344.493831584834,"C. caryae"
"A","2",73,292,7.3e+07,73.5,347.014408922742,"C. caryae"
"A","2",74,0,7.4e+07,74.5,334.596772249823,"C. caryae"
"A","2",75,24,7.5e+07,75.5,306.20581313881,"C. caryae"
"A","2",76,756,7.6e+07,76.5,815.657403570886,"C. caryae"
"A","2",77,9,7.7e+07,77.5,810.837221641927,"C. caryae"
"A","2",78,4,7.8e+07,78.5,756.444974865985,"C. caryae"
"A","2",79,356,7.9e+07,79.5,836.029305706445,"C. caryae"
"A","2",80,61,8e+07,80.5,837.90810952037,"C. caryae"
"A","2",81,326,8.1e+07,81.5,486.651826257747,"C. caryae"
"A","2",82,135,8.2e+07,82.5,504.949502425738,"C. caryae"
